                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.599,                 3.0049,                 2.8265,                0.09572,                0.21496,                0.07927,                0.02523,                 2.2619,                  3.788,                 2.8716,               0.070118,              0.0033202,              0.0033202
                      2,                 2.0001,                 2.4013,                 2.2558,                0.37898,                0.18471,                0.13921,                0.04974,                 2.1752,                 2.8903,                 2.6492,               0.039986,              0.0065218,              0.0065218
                      3,                  1.882,                 2.2472,                 2.1368,                0.33572,                0.11323,                0.08856,                0.03209,                 2.2199,                 2.9021,                  2.686,              0.0097226,              0.0095914,              0.0095914
                      4,                 1.8228,                  2.158,                 2.0586,                0.47893,                0.31733,                0.23104,                0.10726,                 1.8098,                 2.4592,                 2.1916,               0.009406,               0.009406,               0.009406
                      5,                 1.7479,                 2.0468,                 1.9862,                0.52734,                0.33197,                0.27378,                0.10991,                 1.8505,                 2.0857,                 2.2178,               0.009406,               0.009406,               0.009406
                      6,                 1.6953,                 1.9661,                 1.9437,                 0.6844,                0.30684,                0.31009,                0.13489,                 1.8743,                 1.9673,                 2.2277,               0.009208,               0.009208,               0.009208
                      7,                 1.6569,                  1.921,                 1.8995,                 0.5887,                0.41627,                0.36379,                0.16682,                 1.7283,                 1.9186,                 2.0722,                0.00901,                0.00901,                0.00901
                      8,                 1.6298,                 1.8576,                 1.8775,                0.59342,                0.38852,                0.36603,                0.16963,                 1.6544,                 1.8256,                 2.0562,               0.008812,               0.008812,               0.008812
                      9,                  1.601,                 1.8107,                 1.8521,                0.65137,                0.39074,                0.41469,                0.18749,                 1.6721,                 1.6691,                 2.0749,               0.008614,               0.008614,               0.008614
                     10,                 1.5916,                 1.7669,                 1.8368,                0.42844,                0.46461,                0.45644,                0.21756,                  1.733,                 1.6298,                  2.118,               0.008416,               0.008416,               0.008416
                     11,                 1.5682,                 1.7505,                 1.8272,                0.64394,                0.37278,                0.41596,                0.19237,                 1.7169,                  1.685,                 2.1098,               0.008218,               0.008218,               0.008218
                     12,                 1.5546,                 1.7171,                 1.8039,                0.77623,                0.41071,                0.50527,                0.25718,                  1.598,                 1.6081,                 1.9586,                0.00802,                0.00802,                0.00802
