                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3778,                 3.4788,                 3.8898,                0.00389,                0.58333,                0.00684,                0.00249,                 2.5915,                 3.7834,                 3.1785,                 0.0928,                 0.0008,                 0.0008
                      2,                 2.9363,                 3.1687,                  3.381,                0.00389,                0.58333,                0.01044,                0.00376,                 2.5406,                 3.7542,                 2.8099,               0.084616,              0.0016158,              0.0016158
                      3,                 3.0001,                 3.0535,                 3.2736,                0.01158,                0.58333,                0.02686,                0.00656,                 2.7136,                 5.9314,                 3.0287,               0.076343,              0.0023426,              0.0023426
                      4,                 3.0204,                  2.955,                 3.1785,                0.03408,                0.08333,                0.03766,                0.01286,                 3.2183,                 12.524,                  3.713,                0.06798,              0.0029802,              0.0029802
                      5,                 3.0577,                  2.817,                 3.1912,                0.03408,                0.08333,                0.03766,                0.01286,                 4.3344,                 9.5841,                 13.791,               0.059529,              0.0035288,              0.0035288
                      6,                 3.0366,                 2.7298,                 3.1232,                0.00278,                0.41667,                0.00711,                0.00113,                 3.3126,                 4543.3,                 80.502,               0.050988,              0.0039882,              0.0039882
                      7,                 2.9197,                 2.7446,                 3.0595,                0.00333,                    0.5,                0.00366,                0.00115,                 2.9117,                 6388.2,                 75.263,               0.042359,              0.0043586,              0.0043586
                      8,                 2.8727,                  2.685,                 3.0227,                0.00444,                0.66667,                0.00609,                0.00246,                 2.3994,                 3584.1,                 26.904,                0.03364,              0.0046399,              0.0046399
                      9,                 2.8344,                 2.6766,                 3.0085,                0.01237,                    0.5,                0.00908,                0.00365,                 2.3609,                    606,                 10.081,               0.024832,               0.004832,               0.004832
                     10,                 2.8238,                 2.5613,                 2.9368,                0.00837,                    0.5,                0.00873,                0.00386,                 2.3969,                 1750.7,                 9.3138,               0.015935,              0.0049351,              0.0049351
                     11,                 2.7136,                 2.7637,                 2.8046,                0.00968,                    0.5,                0.01026,                0.00885,                  2.385,                 1122.1,                  8.129,               0.006949,               0.004949,               0.004949
