                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3778,                 3.4788,                 3.8898,                0.00389,                0.58333,                0.00684,                0.00249,                 2.5915,                 3.7834,                 3.1785,                 0.0928,                 0.0008,                 0.0008
                      2,                 2.9397,                 3.1766,                 3.3875,                0.00556,                0.83333,                 0.0236,                0.00791,                   2.54,                 3.7477,                 2.8045,               0.084666,              0.0016663,              0.0016663
                      3,                 3.0094,                 3.0639,                  3.274,                0.01186,                   0.75,                 0.0266,                 0.0068,                 2.7212,                 5.3637,                 3.1299,               0.076497,               0.002497,               0.002497
                      4,                 3.0038,                 2.9579,                 3.1587,                0.01622,                   0.75,                0.04336,                0.00911,                 3.0164,                 105.64,                 4.6527,               0.068292,              0.0032921,              0.0032921
                      5,                 3.0546,                 2.8103,                 3.1825,                0.01517,                0.83333,                0.05507,                0.01103,                 4.6447,                  12122,                 840.57,               0.060052,              0.0040515,              0.0040515
                      6,                 2.9968,                 2.7416,                 3.0732,                0.00444,                0.66667,                0.00536,                0.00246,                 2.7662,                  34923,                 539.38,               0.051775,              0.0047753,              0.0047753
                      7,                 2.8978,                 2.7258,                  3.032,                0.00444,                0.66667,                0.00532,                0.00253,                 2.7386,                  57497,                 784.06,               0.043463,              0.0054634,              0.0054634
                      8,                 2.8547,                 2.6899,                 2.9874,                0.00444,                0.66667,                0.00538,                0.00243,                 2.5303,                  35939,                 339.29,               0.035116,              0.0061159,              0.0061159
                      9,                  2.869,                 2.7157,                 2.9949,                0.00056,                0.08333,                 0.0003,                  3e-05,                 3.6664,                  14906,                 163.15,               0.026733,              0.0067328,              0.0067328
                     10,                 2.8355,                   2.59,                 2.9266,                0.00444,                0.66667,                0.00567,                0.00247,                 2.5295,                 3985.5,                 66.292,               0.018314,               0.007314,               0.007314
                     11,                 2.8174,                 2.6458,                  2.932,                 0.0157,                0.58333,                 0.0161,                0.00495,                 2.6726,                 455.82,                  24.42,              0.0098596,              0.0078596,              0.0078596
                     12,                 2.8041,                 2.6476,                 2.9055,                0.02111,                0.66667,                0.12157,                0.05044,                 3.1563,                 72.832,                 5.4957,               0.007822,               0.007822,               0.007822
